source_id,title,publisher,date,URL,source_type,primary_or_secondary,reliability_notes,phase1_ref
S001,About Google DeepMind,Google DeepMind,—,https://deepmind.google/about/,company,primary,Official history,web:4
S002,Introducing OpenAI,OpenAI,2015-12-11,https://openai.com/index/introducing-openai/,company,primary,Founding announcement,web:42
S003,Ilya Sutskever Wikipedia entry (cross-checked),Wikipedia / multiple,2026,https://en.wikipedia.org/wiki/Ilya_Sutskever,aggregator,secondary,Cross-checked against primary career facts,web:70
S004,Liang Wenfeng Wikipedia / reporting,Wikipedia + specialist,2026,various,aggregator + news,secondary,Consistent on quant → DeepSeek path,web:80
S005,Anthropic founding coverage,TechCrunch / Contrary / Wikipedia et al.,2021-2026,various,news + analysis,secondary,Multiple independent sources agree on 2021 OpenAI cluster,web:50-59
S006,SSI founding,Company statements + Wikipedia,2024-06,various,company + secondary,primary/secondary,Founding date well attested,web:120
S007,Thinking Machines Lab coverage,Wikipedia + WIRED et al.,2025-2026,various,news,secondary,Consistent founding team,web:110
S008,xAI founding team announcement,Observer / company,2023-07,https://observer.com/...,news,secondary,Named co-founders,web:63
S009,Chinese labs founder profiles,CNA / MIT TR / TechBuzzChina et al.,2025-2026,various,specialist news,secondary,Consistent academic/quant origins,web:15-24
S010,Microsoft-OpenAI partnership,OpenAI / TechCrunch / Reuters,2019+,various,company + news,primary/secondary,Investment and Azure well documented,web:130-131
S011,DeepMind acquisition,WSJ / company filings,2014,various,news + secondary,secondary,Price range reported,web:35
S012,Transformer paper lineage,arXiv / Google,2017,arXiv:1706.03762,research,primary,Architecture paper itself,web:0 / web:4
S013,Llama open-weights impact,Meta AI + secondary analyses,2023+,various,company + analysis,secondary,Broadly observed influence,web:0 web:5
S015,Geoffrey Hinton quits Google to warn on AI,CNN Business / NYT,2023-05-01,https://www.cnn.com/2023/05/01/tech/geoffrey-hinton-leaves-google-ai-fears,major news,secondary,Departure May 2023,research:S01
S016,Google Scoops Up DNNresearch,TechCrunch,2013-03-12,https://techcrunch.com/2013/03/12/google-scoops-up-neural-networks-startup-dnnresearch,specialist press,secondary,Terms undisclosed,research:S02
