model,flagship_asof,A1,delta_A1,A2_note,T,delta_T,R,delta_R,E,delta_E,confidence,H_substrate,classification,notes,d_paradigm,sources
Gemini,Gemini 3.1 Pro (2026),transformer,0,sparse MoE,next-token + pref/RL post-training,0,seq. symbol prediction,0,shared benchmarks + arenas,0,doc,TPU (internal),CONVENTIONAL,Tech reports document sparse-MoE transformer,0.000,[S072][S073]
ChatGPT / GPT,GPT-5.x (2026),transformer,0,undisclosed detail,next-token + pref/RL,0,seq. symbol prediction,0,shared benchmarks + arenas,0,ss,Azure + NVIDIA/partner buildout,CONVENTIONAL,Closed; transformer lineage per system cards; A2 undisclosed,0.000,[S072][S073]
Claude,Claude Fable 5 (2026),transformer,0,undisclosed detail,next-token + RLHF/Constitutional,0,seq. symbol prediction,0,shared benchmarks + arenas,0,ss,AWS Trainium + Google TPU,CONVENTIONAL,"Closed; coder is the subject — coded conservatively, dual-pass",0.000,[S072][S073]
Llama,Llama 4 family (2025),transformer,0,MoE (open weights),next-token + pref post-training,0,seq. symbol prediction,0,shared benchmarks + arenas,0,doc,Meta internal DCs,CONVENTIONAL,Open weights document MoE transformer,0.000,[S072][S073]
Copilot / MAI,MAI-1.x (2025-26),transformer,0,MoE (partial disclosure),next-token + pref/RL,0,UNKNOWN,,shared benchmarks + arenas,0,ss,Azure,INSUFFICIENT,Coding-object caveat: product wraps OpenAI + MAI models; R unknown -> classification withheld per §5/§10,0.000,[S072][S073]
Grok,Grok 4.x (2026),transformer,0,undisclosed detail,next-token + RL,0,seq. symbol prediction,0,shared benchmarks + arenas,0,ss,"Colossus (self-owned, NVIDIA)",CONVENTIONAL,Closed; xAI materials state transformer LLM,0.000,[S072][S073]
ERNIE,ERNIE 4.5/5 (2025-26),transformer,0,heterogeneous MoE (4.5 open),next-token + pref,0,seq. symbol prediction,0,shared benchmarks + arenas,0,doc,Baidu Cloud + Kunlun,CONVENTIONAL,ERNIE 4.5 open-sourced with documented MoE transformer,0.000,[S072][S073]
DeepSeek,DeepSeek V4.1-Flash (2026-09-10),transformer,0,"NEW FAMILY: causal encoder-decoder, CSA2 sparse attention, asymmetric prefill/decode activation; MIT weights; 1M ctx",next-token + RL (GRPO lineage),0,seq. symbol prediction,0,shared benchmarks + arenas,0,doc,NVIDIA A100/H800 stack,CONVENTIONAL,Largest within-family A2 redesign in the sample; A1 holds MATCH - encoder-decoder is transformer-family (the 2017 original was one). V4 Pro traffic routed to V4.1-Flash from 2026-09-14.,0.000,[S069]
Kimi,Kimi K3 (2026-07),attention/linear-recurrent HYBRID,0.5,3:1 KDA (Gated-DeltaNet lineage) : Gated MLA - 69/24 layers over 93; 2.78T MoE; NoPE; open weights,next-token + RL,0,seq. symbol prediction,0,shared benchmarks + arenas,0,doc,Alibaba/Tencent cloud (reported),HYBRID,RESCORED 2026-09-14 under frozen spec: linear-attention branch moved from research (Kimi Linear) into released flagship (arXiv tech report). Second break in the A1 band.,0.125,[S067]
Qwen,Qwen 3.5 (2026-02),attention/linear-recurrent HYBRID,0.5,"3:1 Gated DeltaNet : full attention, sparse MoE 397B-A17B",next-token + pref/RL,0,seq. symbol prediction,0,shared benchmarks + arenas (agentic suite emphasis),0,doc,Alibaba Cloud; migrating to in-house silicon (reported),HYBRID,"FIRST BREAK IN THE A1 BAND: documented interleaved GDN linear attention as flagship architecture Family continues downward: Qwen3.8-27B (Aug 2026) on the same hybrid foundation (reported, U029).",0.125,[S072][S073]
GLM,"GLM-5.x (GLM-5.3, 2026-08)",transformer,0,MoE + MLA + DeepSeek Sparse Attention,next-token + pref/RL,0,seq. symbol prediction,0,shared benchmarks + arenas,0,doc,"Huawei Ascend (documented, end-to-end)",SUBSTRATE-DIVERGENT,"Paradigm all-match; hardware regime departed the NVIDIA stack — exactly the d_sub>0, d_par=0 case GLM-5.3 family continuation Aug 2026 (reported via Hy4 comparative benchmarks, U029).",0.000,[S072][S073]
MiniMax,MiniMax M3 (2026-06-01),transformer,0,GQA backbone + MiniMax Sparse Attention (block-sparse); native multimodal; open weights (custom community license),next-token + RL,0,seq. symbol prediction,0,shared benchmarks + arenas,0,doc,Alibaba/Tencent cloud (reported),CONVENTIONAL,CORRECTION LOGGED (U026): 2026-08-11 scoring anchored stale flagship (M2.5) - M3 had shipped 06-01. A1 unchanged: sparse attention is attention-family engineering. Trajectory: 01 hybrid -> M2.x full -> M3 sparse (A2-level).,0.000,[S068]
