event_id,date,date_precision,event_type,nodes_involved,edge_ids,description,source_ids
EV001,2010,year,founding,G_N001;G_N026,G_E032,DeepMind founded by Hassabis et al.,[web:4]
EV002,2011,year,founding,G_N002,,Google Brain begins,[web:100]
EV003,2013-12,month,founding,G_N006;G_N027,G_E034,FAIR announced / LeCun director,[web:90]
EV004,2014-01,month,acquisition,G_N021;G_N001,G_E001,Google acquires DeepMind,[web:35]
EV005,2015-12,month,founding,G_N004;G_N024;G_N030,G_E006;G_E018,OpenAI founded,[web:42]
EV006,2015,year,founding,G_N023;G_N028,G_E036,High-Flyer founded,[web:80]
EV007,2019,year,investment,G_N019;G_N004,G_E023;G_E024,Microsoft investment + Azure partnership begins,[web:131]
EV008,2019,year,founding,G_N011,G_E027,Zhipu AI founded (Tsinghua lineage),[web:16]
EV009,2021,year,founding + team_migration,G_N005;G_N004;G_N025,G_E009;G_E010;G_E011,Anthropic founded by OpenAI alumni cluster,[web:50]
EV010,2021,year,founding,G_N013,,MiniMax founded,[web:18]
EV011,2023-03-09,exact,founding,G_N007;G_N030,G_E019,xAI incorporated / founded,[web:60]
EV012,2023-04-20,exact,merger,G_N001;G_N002;G_N003;G_N026,G_E002;G_E003;G_E033,DeepMind + Google Brain → Google DeepMind,[web:4]
EV013,2023-05,month,founding,G_N010;G_N028;G_N023,G_E025;G_E035,DeepSeek founded from High-Flyer,[web:80]
EV014,2023,year,founding,G_N012;G_N015;G_N014;G_N016,,Moonshot 01.AI Baichuan StepFun founded wave,[web:16][web:17]
EV015,2024-05,month,departure,G_N024;G_N004,G_E006,Sutskever leaves OpenAI,[web:70]
EV016,2024-06-19,exact,founding,G_N008;G_N024,G_E012;G_E013,SSI founded,[web:120]
EV017,2025-02,month,founding + team_migration,G_N009;G_N029;G_N004,G_E015;G_E016;G_E017,Thinking Machines Lab founded by OpenAI alumni,[web:110]
